Id,CopyId,UTC,UTCMilliseconds,PCLocalTime,PCTime,EventEnd,eventType,nClicks,minNumber,bestNumber,maxNumber,colour,comment,channels,TMModelName1,TMLatitude1,TMLongitude1,BeamLatitude1,BeamLongitude1,BeamTime1,TMSide1,TMChi21,TMAIC1,TMProbability1,TMDegsFreedom1,TMPerpendicularDistance1,TMPerpendicularDistanceError1,TMDepth1,TMDepthError1,TMHydrophones1,TMError1,TMComment1,TMLatitude2,TMLongitude2,BeamLatitude2,BeamLongitude2,BeamTime2,TMSide2,TMChi22,TMAIC2,TMProbability2,TMDegsFreedom2,TMPerpendicularDistance2,TMPerpendicularDistanceError2,TMDepth2,TMDepthError2,TMHydrophones2,TMError2,TMComment2,UID,ChannelBitmap,SequenceBitmap
262,,2018-07-10 15:57:18.004,4,2018-07-10 16:57:18.004,2019-09-25 08:35:46.509,2018-07-10 16:21:00.026,SWC         ,260,1,1,1,10,,3,Least squares                 ,41.66815756528976,3.508679027395325,41.705933333333334,3.585233333333333,1531237731590,0,6.104158247114292,1578.8728277554872,,,7614.277697769175,560.788770472092,0,,0,"{""NAME"":""SimpleError"",""PERP"":5.608E2,""PARR"":5.268E2,""ANGLE"":7.788E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,262,,
263,,2018-07-10 16:48:27.541,541,2018-07-10 17:48:27.541,2019-09-25 08:36:46.079,2018-07-10 18:02:30.585,SWC         ,274,1,1,1,11,,3,Least squares                 ,41.88144143771219,3.4992564429919923,41.883766666666666,3.5857166666666664,1531243686710,0,1.329306165629644,365.57127705126317,,,7157.556294635328,60.37030619526965,0,,0,"{""NAME"":""SimpleError"",""PERP"":6.037E1,""PARR"":4.989E1,""ANGLE"":7.806E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,263,,
264,,2018-07-10 16:58:42.021,21,2018-07-10 17:58:42.021,2019-09-25 08:36:46.079,2018-07-10 18:21:05.847,SWC         ,341,1,1,1,12,,3,Least squares                 ,41.893858049684084,3.4869880143796417,41.894800000000004,3.5853333333333333,1531244073230,0,2.667078727925275,908.1396887666681,,,8135.330389758596,62.4567692909669,0,,0,"{""NAME"":""SimpleError"",""PERP"":6.246E1,""PARR"":3.608E1,""ANGLE"":7.788E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,264,,
265,,2018-07-10 17:16:52.834,834,2018-07-10 18:16:52.834,2019-09-25 08:36:46.079,2018-07-10 17:35:10.193,SWB         ,78,1,1,1,1,,3,Least squares                 ,41.82982318720775,3.5444178153578667,41.838233333333335,3.5869333333333335,1531242113770,0,2.2038079577440697,171.4894047885493,,,3641.9437096064544,276.509629852166,0,,0,"{""NAME"":""SimpleError"",""PERP"":2.765E2,""PARR"":2.875E2,""ANGLE"":7.806E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,265,,
266,,2018-07-10 22:07:24.308,308,2018-07-10 23:07:24.308,2019-09-25 08:37:31.083,2018-07-10 22:08:58.150,DLP         ,174,20,22,24,2,,3,Least squares                 ,42.34692727089151,3.5587996292648842,42.34686666666666,3.5608166666666667,1531260465190,0,4.278460196516098,739.895153800769,,,165.78918919107036,2.1253802691363974,0,,0,"{""NAME"":""SimpleError"",""PERP"":2.125E0,""PARR"":8.551E-1,""ANGLE"":7.823E0}                                                           ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,266,,
267,,2018-07-11 04:33:15.010,10,2018-07-11 05:33:15.010,2019-09-25 08:42:25.363,2018-07-11 04:57:47.978,SWC         ,505,1,1,1,3,,3,Least squares                 ,42.96295772910205,3.867820890079025,42.911566666666666,3.9632666666666667,1531283571430,0,2.164262658162648,1092.624117055812,,,9638.452109972093,318.2161661298453,0,,0,"{""NAME"":""SimpleError"",""PERP"":3.182E2,""PARR"":4.684E1,""ANGLE"":2.135E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,267,,
268,,2018-07-11 21:37:12.970,970,2018-07-11 22:37:12.970,2019-09-25 08:45:59.271,2018-07-11 21:44:14.462,DLP         ,308,5,6,7,4,,3,Least squares                 ,43.03217991419878,5.686492201774014,43.03241666666667,5.69215,1531345225810,0,2.874592371383301,883.62526564329,,,460.3087043851447,3.710963543935687,0,,0,"{""NAME"":""SimpleError"",""PERP"":3.711E0,""PARR"":1.931E0,""ANGLE"":7.849E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,268,,
269,,2018-07-12 19:26:24.413,413,2018-07-12 20:26:24.413,2019-09-25 11:27:52.120,2018-07-12 19:37:37.979,SWC         ,950,1,1,1,5,,3,Least squares                 ,41.30897984237148,4.083735879898118,41.311416666666666,4.077583333333333,1531423881260,0,1.1499824052020493,1094.1833201315428,,,580.5533365751373,3.225,0,,0,"{""NAME"":""SimpleError"",""PERP"":3.225E0,""PARR"":1.992E0,""ANGLE"":5.172E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,269,,
270,,2018-07-12 19:54:53.207,207,2018-07-12 20:54:53.207,2019-12-04 19:34:05.251,2018-07-12 20:12:24.766,SWC         ,762,1,1,1,6,,3,Least squares                 ,41.3392996833224,4.27254272411359,41.31605,4.087466666666667,1531426942830,0,2.6441027647748307,2029.3827178175204,,,15658.278936203782,1536,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.536E3,""PARR"":1.999E3,""ANGLE"":2.24E0}                                                             ",,,,,,,,,,,,,,,,,,,270,3,
271,,2018-07-12 19:57:53.811,811,2018-07-12 20:57:53.811,2019-12-04 19:34:07.308,2018-07-12 20:11:25.479,SWC         ,1091,1,1,1,7,TMA wouldn't run succesfully                                                    ,3,,,,,,,0,0,,,,,,,,0,,,,,,,,1,0,,,,,,,,0,,,271,3,
272,,2018-07-12 19:59:42.069,69,2018-07-12 20:59:42.069,2019-12-04 19:34:09.315,2018-07-12 20:11:57.328,SWC         ,260,1,1,1,8,,3,Least squares                 ,41.317910768334656,4.114661382336944,41.31605,4.087466666666667,1531426942830,0,1.1854192980297285,178.25663681037008,,,2279.03554017125,223.1,0,,0,"{""NAME"":""SimpleError"",""PERP"":2.231E2,""PARR"":3.783E2,""ANGLE"":2.205E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,272,3,
273,,2018-07-12 20:00:45.254,254,2018-07-12 21:00:45.254,2019-12-04 19:34:09.511,2018-07-12 20:01:17.388,SWC         ,44,1,1,1,9,,3,Least squares                 ,41.30021506348467,4.0735894259519325,41.30015,4.073616666666666,1531425460110,0,0.15809036413007632,10.639795293463205,,,7.5790599524895645,2.837560543351023,0,,0,"{""NAME"":""SimpleError"",""PERP"":2.838E0,""PARR"":1.397E1,""ANGLE"":2.205E0}                                                            ",,41.300183436361,4.073783891914311,41.30015,4.073616666666666,1531425460110,1,0.1873223720741779,11.867539627115471,,,14.445980176923918,3.641585833011807,0,,0,"{""NAME"":""SimpleError"",""PERP"":3.642E0,""PARR"":1.837E1,""ANGLE"":2.205E0}                                                            ",,273,3,
274,,2018-07-12 19:54:57.743,743,2018-07-12 20:54:57.743,2019-12-04 19:34:09.803,2018-07-12 20:11:25.953,SWC         ,208,1,1,1,10,TMA wouldn't run succesfully                                                    ,3,,,,,,,0,0,,,,,,,,0,,,,,,,,1,0,,,,,,,,0,,,274,3,
